Season-Episode,painting_title,colors,color_hex,youtube_src
S12E09,Tropical Seascape,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Liquid Clear | Midnight Black | Phthalo Blue | Prussian Blue | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #FFFFFF | #000000 | #0C0040 | #021E44 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/RrBsbqO9aqI
S12E10,Mountain at Sunset,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Liquid Clear | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #FFFFFF | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/HCsCatvigtw
S12E11,Soft Mountain Glow,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/gOGJYHWjXgE
S12E12,Mountain in an Oval,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/1jRPshs27H8
S12E13,Winter Mountain,Alizarin Crimson | Bright Red | Midnight Black | Phthalo Blue | Prussian Blue | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #000000 | #0C0040 | #021E44 | #FFFFFF | #221B15,https://www.youtube.com/embed/46vI20697HI
S13E01,Rolling Hills,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/H4GyGrT7lEQ
S13E02,Frozen Solitude,Dark Sienna | Midnight Black | Prussian Blue | Titanium White | Van Dyke Brown,#5F2E1F | #000000 | #021E44 | #FFFFFF | #221B15,https://www.youtube.com/embed/kNZssD9zWlw
S13E03,Meadow Brook,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/06W8GsWj2Yg
S13E04,Evening at Sunset,Alizarin Crimson | Black Gesso | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/7ZUQTXuDPaI
S13E05,Mountain View,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/dJfnAyDLwPY
S13E06,Hidden Creek,Black Gesso | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#000000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/KmoRz01bm0Y
S13E07,Peaceful Haven,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Phthalo Green | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #102E3C | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/j20pZ96E_CE
S13E08,Mountain Exhibition,Alizarin Crimson | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/bgI3_1quJ18
S13E09,Emerald Waters,Black Gesso | Cadmium Yellow | Dark Sienna | Midnight Black | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#000000 | #FFEC00 | #5F2E1F | #000000 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/lLunPQBzW6g
S13E10,Mountain Summit,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/kasGRkfkiPM
S13E11,Cabin Hideaway,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Midnight Black | Phthalo Blue | Prussian Blue | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #000000 | #0C0040 | #021E44 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/NjTlW2NL1Lo
